ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
HILPDA	hypoxia inducible lipid droplet associated(HILPDA)	Homo sapiens	GO:0001819~positive regulation of cytokine production,GO:0008284~positive regulation of cell proliferation,GO:0010884~positive regulation of lipid storage,GO:0035425~autocrine signaling,GO:0071456~cellular response to hypoxia,	GO:0005615~extracellular space,GO:0005654~nucleoplasm,GO:0005811~lipid particle,GO:0005829~cytosol,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030141~secretory granule,	GO:0005102~receptor binding,GO:0005515~protein binding,	IPR026190:Hypoxia-inducible lipid droplet-associated protein,					KW-0346~Stress response,	KW-0472~Membrane,KW-0551~Lipid droplet,KW-0964~Secreted,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,MUTAGEN:S->K: No effect on lipid droplet targeting or protein expression; when associated with K-41.,MUTAGEN:T->K: No effect on lipid droplet targeting or protein expression; when associated with K-44.,MUTAGEN:YL->DD: Loss of targeting to lipid droplets and elimination of protein.,REGION:Disordered,REGION:Required for targeting to lipid droplets,TRANSMEM:Helical,
IER3	immediate early response 3(IER3)	Homo sapiens	GO:0001562~response to protozoan,GO:0003085~negative regulation of systemic arterial blood pressure,GO:0006096~glycolytic process,GO:0006282~regulation of DNA repair,GO:0006915~apoptotic process,GO:0007095~mitotic G2 DNA damage checkpoint,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0009653~anatomical structure morphogenesis,GO:0043066~negative regulation of apoptotic process,GO:0045732~positive regulation of protein catabolic process,GO:0045820~negative regulation of glycolytic process,GO:0046822~regulation of nucleocytoplasmic transport,GO:0050728~negative regulation of inflammatory response,GO:1901029~negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:2000377~regulation of reactive oxygen species metabolic process,GO:2001020~regulation of response to DNA damage stimulus,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,	IPR024829:Radiation-inducible immediate-early gene IEX-1,						KW-0472~Membrane,		KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
IGHA1	immunoglobulin heavy constant alpha 1(IGHA1)	Homo sapiens	GO:0001895~retina homeostasis,GO:0002250~adaptive immune response,GO:0003094~glomerular filtration,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0018298~protein-chromophore linkage,GO:0019731~antibacterial humoral response,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,GO:0060267~positive regulation of respiratory burst,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0071745~IgA immunoglobulin complex,GO:0071748~monomeric IgA immunoglobulin complex,GO:0071751~secretory IgA immunoglobulin complex,GO:0071752~secretory dimeric IgA immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,	KW-0157~Chromophore,		KW-0325~Glycoprotein,KW-1015~Disulfide bond,	BINDING:covalent; in form alpha-1-microglobulin complex,CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,CARBOHYD:O-linked (GalNAc...) serine,CARBOHYD:O-linked (GalNAc...) threonine,COMPBIAS:Pro residues,DISULFID:Interchain (with J chain); in oligomeric form,DISULFID:Interchain (with heavy chain of another subunit) (or with C-503 of PIGR/the secretory component),DISULFID:Interchain (with heavy chain),DISULFID:Interchain (with heavy chain) (or with C-180),DISULFID:Interchain (with light chain),DISULFID:Or C-123 with C-182,DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,REGION:Disordered,
IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)(IGHA2)	Homo sapiens	GO:0001895~retina homeostasis,GO:0002250~adaptive immune response,GO:0003094~glomerular filtration,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0019731~antibacterial humoral response,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,GO:0060267~positive regulation of respiratory burst,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071745~IgA immunoglobulin complex,GO:0071748~monomeric IgA immunoglobulin complex,GO:0071751~secretory IgA immunoglobulin complex,GO:0071752~secretory dimeric IgA immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0004866~endopeptidase inhibitor activity,GO:0034987~immunoglobulin receptor binding,	IPR002890:Alpha-2-macroglobulin, N-terminal,IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR010916:TonB box, conserved site,IPR011625:Alpha-2-macroglobulin, N-terminal 2,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain (with J chain),DISULFID:Interchain (with heavy chain of another subunit) (or with C-503 of PIGR/the secretory component),DISULFID:Interchain (with heavy chain),DISULFID:Interchain (with light chain),DOMAIN:A2M_N_2,DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,DOMAIN:MG2,
IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)(IGHG1)	Homo sapiens	GO:0001788~antibody-dependent cellular cytotoxicity,GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,GO:0097278~complement-dependent cytotoxicity,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0005515~protein binding,GO:0034987~immunoglobulin receptor binding,GO:0034988~Fc-gamma receptor I complex binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,DISULFID:Interchain (with heavy chain),DISULFID:Interchain (with light chain),DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,MUTAGEN:G->A: Reduces the affinity for FCGR1A about 40-fold. Abolishes binding to FCGR2A and FCGR3A. Impairs ADCC of virus-infected cells by monocytes. Decreases binding to complement component C1q. Decreases complement-dependent cytotoxicity.,MUTAGEN:K->A: Does not affect binding to FCGR1A. Only slightly affects binding to FCGR2A and FCGR3A. Impairs binding to complement component C1q. Impairs complement-dependent cytotoxicity.,MUTAGEN:L->A: Reduces the affinity for FCGR1A about 5-fold. Abolishes binding to FCGR2A and FCGR3A. Impairs ADCC of virus-infected cells by monocytes. Impairs binding to complement component C1q. Impairs complement-dependent cytotoxicity.,MUTAGEN:L->E: Reduces the affinity for FCGR1A about 40-fold. Abolishes binding to FCGR2A and FCGR3A. Impairs ADCC of virus-infected cells by monocytes. Impairs binding to complement component C1q. Impairs complement-dependent cytotoxicity.,MUTAGEN:LL->AA: Abolishes binding to FCGR1A, FCGR2A and FCGR3A. Impairs ADCC of virus-infected cells by monocytes.,REGION:CH1,REGION:CH2,REGION:CH3,REGION:Disordered,REGION:Hinge,TRANSMEM:Helical,
IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker)(IGHG2)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0005515~protein binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,		IgG2 deficiency, selective~IgG2 deficiency, selective,		SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,DISULFID:Interchain (with a heavy chain),DISULFID:Interchain (with a light chain),DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,REGION:CH1,REGION:CH2,REGION:CH3,REGION:Hinge,SITE:At or near the complement-binding site,TRANSMEM:Helical,
IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)(IGHG3)	Homo sapiens	GO:0001895~retina homeostasis,GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (GalNAc...) threonine,DISULFID:Interchain (with heavy chain dimer),DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,REGION:CH1,REGION:CH2,REGION:CH3,REGION:Hinge,TRANSMEM:Helical,
IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)(IGHG4)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,DISULFID:Interchain (with a heavy chain),DISULFID:Interchain (with a light chain),DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,REGION:CH1,REGION:CH2,REGION:CH3,REGION:Hinge,TRANSMEM:Helical,
IGHM	immunoglobulin heavy constant mu(IGHM)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0019731~antibacterial humoral response,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050829~defense response to Gram-negative bacterium,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071753~IgM immunoglobulin complex,GO:0071756~pentameric IgM immunoglobulin complex,GO:0071757~hexameric IgM immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003697~single-stranded DNA binding,GO:0003823~antigen binding,GO:0031210~phosphatidylcholine binding,GO:0034987~immunoglobulin receptor binding,GO:0042834~peptidoglycan binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,		601495~Agammaglobulinemia 1,		SM00406:IGv,SM00407:IGc1,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0812~Transmembrane,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain (with heavy chain of another subunit),DISULFID:Interchain (with heavy chain),DISULFID:Interchain (with light chain),DOMAIN:Ig-like,DOMAIN:Ig-like 1,DOMAIN:Ig-like 2,DOMAIN:Ig-like 3,DOMAIN:Ig-like 4,REGION:CH1,REGION:CH2,REGION:CH3,REGION:CH4,
IGHV3-23	immunoglobulin heavy variable 3-23(IGHV3-23)	Homo sapiens	GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,
IGKC	immunoglobulin kappa constant(IGKC)	Homo sapiens	GO:0001895~retina homeostasis,GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0071738~IgD immunoglobulin complex,GO:0071742~IgE immunoglobulin complex,GO:0071745~IgA immunoglobulin complex,GO:0071753~IgM immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,		614102~Kappa light chain deficiency,		SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,	KW-0225~Disease variant,	KW-0393~Immunoglobulin domain,			KW-1015~Disulfide bond,	DISULFID:Interchain (with a heavy chain),DOMAIN:Ig-like,
IGKV1-5	immunoglobulin kappa variable 1-5(IGKV1-5)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,REGION:Complementarity-determining-1,REGION:Complementarity-determining-2,REGION:Complementarity-determining-3,REGION:Framework-1,REGION:Framework-2,REGION:Framework-3,
IGKV1D-39	immunoglobulin kappa variable 1D-39(IGKV1D-39)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,REGION:Complementarity-determining-1,REGION:Complementarity-determining-2,REGION:Complementarity-determining-3,REGION:Framework-1,REGION:Framework-2,REGION:Framework-3,
IGKV3-11	immunoglobulin kappa variable 3-11(IGKV3-11)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,REGION:Complementarity-determining-1,REGION:Complementarity-determining-2,REGION:Complementarity-determining-3,REGION:Framework-1,REGION:Framework-2,REGION:Framework-3,
IGLC1	immunoglobulin lambda constant 1(IGLC1)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0071738~IgD immunoglobulin complex,GO:0071742~IgE immunoglobulin complex,GO:0071745~IgA immunoglobulin complex,GO:0071753~IgM immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,		KW-0086~Bence-Jones protein,	KW-1015~Disulfide bond,	DISULFID:Interchain (with heavy chain),DOMAIN:Ig-like,
IGLC2	immunoglobulin lambda constant 2(IGLC2)	Homo sapiens	GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,		KW-0086~Bence-Jones protein,	KW-1015~Disulfide bond,	DISULFID:Interchain (with heavy chain),DOMAIN:Ig-like,
IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)(IGLC3)	Homo sapiens	GO:0002250~adaptive immune response,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0071735~IgG immunoglobulin complex,GO:0071738~IgD immunoglobulin complex,GO:0071742~IgE immunoglobulin complex,GO:0071745~IgA immunoglobulin complex,GO:0071753~IgM immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,		KW-0086~Bence-Jones protein,	KW-1015~Disulfide bond,	DISULFID:Interchain (with heavy chain),DOMAIN:Ig-like,
IGLL5	immunoglobulin lambda like polypeptide 5(IGLL5)	Homo sapiens	GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006958~complement activation, classical pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,	GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,	GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,	IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00407:IGc1,		KW-0964~Secreted,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,DOMAIN:Ig-like C1-type,REGION:C region (By similarity to lambda light-chain),REGION:J region (By similarity to lambda light-chain),
IGLV1-40	immunoglobulin lambda variable 1-40(IGLV1-40)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-0873~Pyrrolidone carboxylic acid,KW-1015~Disulfide bond,	DOMAIN:Ig-like,
